#instr		format	opcode	bit25	func	rt	rs	rd	sa	bit5	bit6	bit16	b17:16	bit21	bit10	notes 	description
?		format	31..26	25	5..0	20..16	25..21	15..11	10..6	5	6	16	17..16	21	10	limit	desc
ABS.D		FP2	010001		000101		10001										Floating Point Absolute Value 
ABS.PS		FP2	010001		000101		10110										Floating Point Absolute Value 
ABS.S		FP2	010001		000101		10000										Floating Point Absolute Value 
ADD		R3	000000		100000												Add Word 
ADD.D		FP2	010001		000000		10001										Floating Point Add 
ADD.PS		FP2	010001		000000		10110										Floating Point Add 
ADD.S		FP2	010001		000000		10000										Floating Point Add 
ADDI		IMM3	001000														Add Immediate Word 
ADDIU		IMM3	001001														Add Immediate Unsigned Word 
ADDU		R3	000000		100001												Add Unsigned Word 
ALNV.PS		FP4G	010011		011110												Floating Point Align Variable
AND		R3	000000		100100												And 
ANDI		IMM3	001100														And Immediate 
B		B1	000100			00000	00000										Unconditional Branch
BAL		B1	000001			10001	00000										Branch and Link
BC1F		BC	010001				01000						00				Branch on FP False 
BC1FL		BC	010001				01000						10			OBS	Branch on FP False Likely 
BC1T		BC	010001				01000						01				Branch on FP True 
BC1TL		BC	010001				01000						11			OBS	Branch on FP True Likely 
BC2F		BC	010010				01000						00				Branch on COP2 False 
BC2FL		BC	010010				01000						10			OBS	Branch on COP2 False Likely 
BC2T		BC	010010				01000						01				Branch on COP2 True 
BC2TL		BC	010010				01000						11			OBS	Branch on COP2 True Likely 
BEQ		B3	000100														Branch on Equal 
BEQL		B3	010100													OBS	Branch on Equal Likely 
BGEZ		B2	000001			00001											Branch on Greater Than or Equal to Zero 
BGEZAL		B2	000001			10001											Branch on Greater Than or Equal to Zero and Link 
BGEZALL		B2	000001			10011										OBS	Branch on Greater Than or Equal to Zero and Link Likely 
BGEZL		B2	000001			00011										OBS	Branch on Greater Than or Equal to Zero Likely 
BGTZ		B2	000111														Branch on Greater Than Zero 
BGTZL		B2	010111													OBS	Branch on Greater Than Zero Likely 
BLEZ		B2	000110														Branch on Less Than or Equal to Zero 
BLEZL		B2	010110													OBS	Branch on Less Than or Equal to Zero Likely 
BLTZ		B2	000001			00000											Branch on Less Than Zero 
BLTZAL		B2	000001			10000											Branch on Less Than Zero and Link 
BLTZALL		B2	000001			10010										OBS	Branch on Less Than Zero and Link Likely 
BLTZL		B2	000001			00010										OBS	Branch on Less Than Zero Likely 
BNE		B3	000101														Branch on Not Equal 
BNEL		B3	010101													OBS	Branch on Not Equal Likely 
BREAK		NOARG	000000		001101		10000										Breakpoint 
C.EQ.D		FPC	010001		110010		10001										Floating Point Compare 
C.EQ.PS		FPC	010001		110010		10110										Floating Point Compare 
C.EQ.S		FPC	010001		110010		10000										Floating Point Compare 
C.F.D		FPC	010001		110000		10001										Floating Point Compare 
C.F.PS		FPC	010001		110000		10110										Floating Point Compare 
C.F.S		FPC	010001		110000		10000										Floating Point Compare 
C.LE.D		FPC	010001		111110		10001										Floating Point Compare 
C.LE.PS		FPC	010001		111110		10110										Floating Point Compare 
C.LE.S		FPC	010001		111110		10000										Floating Point Compare 
C.LT.D		FPC	010001		111100		10001										Floating Point Compare 
C.LT.PS		FPC	010001		111100		10110										Floating Point Compare 
C.LT.S		FPC	010001		111100		10000										Floating Point Compare 
C.NGE.D		FPC	010001		111101		10001										Floating Point Compare 
C.NGE.PS		FPC	010001		111101		10110										Floating Point Compare 
C.NGE.S		FPC	010001		111101		10000										Floating Point Compare 
C.NGL.D		FPC	010001		111011		10001										Floating Point Compare 
C.NGL.PS		FPC	010001		111011		10110										Floating Point Compare 
C.NGL.S		FPC	010001		111011		10000										Floating Point Compare 
C.NGLE.D		FPC	010001		111001		10001										Floating Point Compare 
C.NGLE.PS		FPC	010001		111001		10110										Floating Point Compare 
C.NGLE.S		FPC	010001		111001		10000										Floating Point Compare 
C.NGT.D		FPC	010001		111111		10001										Floating Point Compare 
C.NGT.PS		FPC	010001		111111		10110										Floating Point Compare 
C.NGT.S		FPC	010001		111111		10000										Floating Point Compare 
C.OLE.D		FPC	010001		110110		10001										Floating Point Compare 
C.OLE.PS		FPC	010001		110110		10110										Floating Point Compare 
C.OLE.S		FPC	010001		110110		10000										Floating Point Compare 
C.OLT.D		FPC	010001		110100		10001										Floating Point Compare 
C.OLT.PS		FPC	010001		110100		10110										Floating Point Compare 
C.OLT.S		FPC	010001		110100		10000										Floating Point Compare 
C.SEQ.D		FPC	010001		111010		10001										Floating Point Compare 
C.SEQ.PS		FPC	010001		111010		10110										Floating Point Compare 
C.SEQ.S		FPC	010001		111010		10000										Floating Point Compare 
C.SF.D		FPC	010001		111000		10001										Floating Point Compare 
C.SF.PS		FPC	010001		111000		10110										Floating Point Compare 
C.SF.S		FPC	010001		111000		10000										Floating Point Compare 
C.UEQ.D		FPC	010001		110011		10001										Floating Point Compare 
C.UEQ.PS		FPC	010001		110011		10110										Floating Point Compare 
C.UEQ.S		FPC	010001		110011		10000										Floating Point Compare 
C.ULE.D		FPC	010001		110111		10001										Floating Point Compare 
C.ULE.PS		FPC	010001		110111		10110										Floating Point Compare 
C.ULE.S		FPC	010001		110111		10000										Floating Point Compare 
C.ULT.D		FPC	010001		110101		10001										Floating Point Compare 
C.ULT.PS		FPC	010001		110101		10110										Floating Point Compare 
C.ULT.S		FPC	010001		110101		10000										Floating Point Compare 
C.UN.D		FPC	010001		110001		10001										Floating Point Compare 
C.UN.PS		FPC	010001		110001		10110										Floating Point Compare 
C.UN.S		FPC	010001		110001		10000										Floating Point Compare 
CACHE		CACHE	101111														Perform Cache Operation
CEIL.L.D		FP2	010001		001010		10001										Floating Point Ceiling Convert to Long Fixed Point 
CEIL.L.S		FP2	010001		001010		10000										Floating Point Ceiling Convert to Long Fixed Point 
CEIL.W.D		FP2	010001		001110		10001										Floating Point Ceiling Convert to Word Fixed Point 
CEIL.W.S		FP2	010001		001110		10000										Floating Point Ceiling Convert to Word Fixed Point 
